;Zeit;L Aeq, T=1s;L AFmax, T=1s;
;18.01.2016   09:25:33;51,2 dB(A);51,5 dB(A);
;18.01.2016   09:25:34;51,5 dB(A);52,1 dB(A);
;18.01.2016   09:25:35;51,6 dB(A);52,1 dB(A);
;18.01.2016   09:25:36;54,3 dB(A);55,6 dB(A);
;18.01.2016   09:25:37;52,2 dB(A);53,1 dB(A);
;18.01.2016   09:25:38;51,7 dB(A);52,0 dB(A);
;18.01.2016   09:25:39;51,6 dB(A);52,1 dB(A);
;18.01.2016   09:25:40;51,4 dB(A);51,8 dB(A);
;18.01.2016   09:25:41;52,3 dB(A);55,4 dB(A);
;18.01.2016   09:25:42;53,9 dB(A);57,3 dB(A);
;18.01.2016   09:25:43;51,1 dB(A);51,4 dB(A);
;18.01.2016   09:25:44;51,0 dB(A);51,2 dB(A);
;18.01.2016   09:25:45;51,6 dB(A);51,9 dB(A);
;18.01.2016   09:25:46;51,5 dB(A);51,9 dB(A);
;18.01.2016   09:25:47;53,9 dB(A);56,1 dB(A);
;18.01.2016   09:25:48;52,2 dB(A);52,8 dB(A);
;18.01.2016   09:25:49;51,8 dB(A);52,3 dB(A);
;18.01.2016   09:25:50;54,8 dB(A);57,1 dB(A);
;18.01.2016   09:25:51;53,4 dB(A);55,5 dB(A);
;18.01.2016   09:25:52;55,9 dB(A);57,3 dB(A);
;18.01.2016   09:25:53;53,2 dB(A);53,7 dB(A);
;18.01.2016   09:25:54;52,2 dB(A);52,8 dB(A);
;18.01.2016   09:25:55;53,2 dB(A);53,9 dB(A);
;18.01.2016   09:25:56;53,6 dB(A);54,2 dB(A);
;18.01.2016   09:25:57;54,0 dB(A);55,8 dB(A);
;18.01.2016   09:25:58;56,6 dB(A);58,3 dB(A);
;18.01.2016   09:25:59;55,9 dB(A);57,5 dB(A);
;18.01.2016   09:26:01;52,0 dB(A);52,3 dB(A);
;18.01.2016   09:26:02;51,9 dB(A);52,3 dB(A);
;18.01.2016   09:26:03;52,4 dB(A);54,3 dB(A);
;18.01.2016   09:26:04;55,0 dB(A);56,4 dB(A);
;18.01.2016   09:26:05;52,1 dB(A);52,9 dB(A);
;18.01.2016   09:26:06;51,8 dB(A);52,0 dB(A);
;18.01.2016   09:26:07;51,5 dB(A);51,7 dB(A);
;18.01.2016   09:26:08;51,2 dB(A);51,6 dB(A);
;18.01.2016   09:26:09;51,0 dB(A);51,2 dB(A);
;18.01.2016   09:26:10;54,5 dB(A);56,5 dB(A);
;18.01.2016   09:26:11;52,1 dB(A);54,0 dB(A);
;18.01.2016   09:26:12;51,2 dB(A);51,5 dB(A);
;18.01.2016   09:26:13;51,0 dB(A);51,3 dB(A);
;18.01.2016   09:26:14;50,9 dB(A);51,1 dB(A);
;18.01.2016   09:26:15;51,0 dB(A);51,3 dB(A);
;18.01.2016   09:26:16;51,5 dB(A);51,8 dB(A);
;18.01.2016   09:26:17;51,4 dB(A);51,8 dB(A);
;18.01.2016   09:26:18;54,4 dB(A);57,7 dB(A);
;18.01.2016   09:26:19;54,0 dB(A);57,5 dB(A);
;18.01.2016   09:26:20;51,6 dB(A);52,0 dB(A);
;18.01.2016   09:26:21;53,5 dB(A);55,8 dB(A);
;18.01.2016   09:26:22;52,0 dB(A);53,3 dB(A);
;18.01.2016   09:26:23;51,8 dB(A);52,2 dB(A);
;18.01.2016   09:26:24;51,8 dB(A);52,3 dB(A);
;18.01.2016   09:26:25;52,2 dB(A);52,5 dB(A);
;18.01.2016   09:26:26;52,3 dB(A);52,7 dB(A);
;18.01.2016   09:26:27;54,9 dB(A);57,3 dB(A);
;18.01.2016   09:26:28;53,8 dB(A);55,2 dB(A);
;18.01.2016   09:26:29;52,1 dB(A);52,6 dB(A);
;18.01.2016   09:26:30;51,7 dB(A);52,1 dB(A);
;18.01.2016   09:26:31;51,9 dB(A);52,3 dB(A);
;18.01.2016   09:26:32;53,9 dB(A);56,6 dB(A);
;18.01.2016   09:26:33;51,8 dB(A);52,6 dB(A);
;18.01.2016   09:26:34;52,0 dB(A);52,5 dB(A);
